text,sentiment
"@ChefGruel @elonmusk I think making the same mistakes of the prior regime isn’t really any better. It’s animal farm with just a switch of animals, horses for pigs.",mockery
@elonmusk @EndWokeness Evaluate nobody cares.,mockery
"Wow!  Since @elonmusk took over, the ratios are getting crazy.  This is the way it should always have been.  This is the truth. https://t.co/oooBNHfmLa",trust
"@Mrs97256776 @elonmusk I’ve never doxxed anyone, and never will.",irrelevant
@jennifer_jj @elonmusk Fuck around and find out game just beginning with these spooks that play games with a mans family https://t.co/5y5Mfgaoc0,fear
@BMeiselas you speak as if you own twitter. Sorry to inform you that @elonmusk beat you to it,mockery
@KeithOlbermann @elonmusk Be careful what you wish for. It may just show what you have hidden forever.,fear
@219_eth @elonmusk Americans are just long last Brits 😉,irrelevant
@levifishman @elonmusk The beauty of owning your own platform. Us peasants can't understand,mockery
"@thomas_auvin 🧐#ElonMusk plans to launch #TwitterPayment? 

So let us guess what will happen to $ELON?

You can now trade $ELON in  #BitKeep with a low gas fee!
Moreover, more than 250K #tokens and 1M #NFTs also can be traded in #BitKeep!

🤳Follow up on BitKeep now &gt;&gt;https://t.co/j6Yw0aacWG https://t.co/PNrSDlMZT7",irrelevant
@elonmusk You have social sites of all kinds shaking in their executive boots!,admiration
"@muskQu0tes @elonmusk They were perfectly happy not hearing any thoughts or opinions, that didn’t line up with theirs, now they are mad, bunch of cry babies 😭!",mockery
@elonmusk @RichardGarriott Same here 😃,irrelevant
@thebias_news I wouldn't be surprised if Kanye elaborates the lore and says things like Elon Musk was born in a lab in Alantis,mockery
@elonmusk Sounds like someone needs to sue Twitter for everything they've got.,fear
"@elonmusk Elon, I really need a job and would love to work for you. Please let me know if you require any new competent marketing staff for Twitter.",trust
"@elonmusk @GavinSBaker So is the truth, thank you!",trust
Thanks to all employees at @Tesla who made this possible and especially to @elonmusk Who managed to put it all together at Tesla  #Tesla  #Technology https://t.co/oi3KtE5UcR,admiration
"@elonmusk Affordable family, employer, and individual insurance plans are all within easy reach. Find exactly what you’re looking for, and get it for the best price. click on the links to register now!
https://t.co/KSf6smNeAx
https://t.co/oo7PrOVyul
#USA #Fifaworldcup #joon #Brady",irrelevant
@TSLAFanMtl @elonmusk Smaller feedback loop I’d imagine.,irrelevant
@GioBruno1600 @elonmusk Not a good look First Lady. https://t.co/nq9ZuabGX2,mockery
"@AlexSpencerUSA @elonmusk I keep hearing the sale was forced,so all could be revealed",trust
"@ryanburnette @caitoz Oh, not Elon Musk?  China is doing Socialism from within a capitalist framework.  They jail billionaires and put limits on them rather than lionizing them and calling them daddy.",irrelevant
@elonmusk when are you releasing an investigation into how often or much twitter suppressed Israeli crimes or shadow banned accounts ?!?!?!?,fear
@ryangrim @elonmusk All groomer activities should be blocked.,fear
"@elonmusk @WholeMarsBlog Not many believe you.  Your recent war with progressives and liberals, you erratic tweets, posting of right-wing propaganda and QAon has alienated a huge swath of the country.

White supremest, MAGA, and Nazis don't buy electric cars, nor invest in tech companies",mockery
"BREAKING: Elon Musk Hints that Poll About Him Stepping Down as Twitter CEO Was a Trick... https://t.co/dxuevtVDf1

HahahahaHAHAHA",mockery
"@BodeBrooks Supporting Elon Musk is supporting Evil. It's also supporting slavery and a world of Holocausting; first the Asians, then black, then anyone who doesn't worship Elon Musk.

STATE OF THE UNIVERSE ADDRESS:
https://t.co/0bHiBAYSFG",fear
"@elonmusk I made a poll that asked if you should give me $100,000.  100% of the respondents said yes.",mockery
"@davidmweissman @elonmusk He seems to hate Tesla shareholders too.
😫",fear
@elonmusk So... you stepping down? I thought Twitter was dictated by polls now.,mockery
"@TomJumboGrumbo @elonmusk Easy Keith, he’s autistic…",mockery
"@elonmusk Hey Elon, can you make a new poll?
Whether Elon should resign from TSLA
1. YES
2. NO",mockery
Sir.Elon Musk it’s time that u make us new cellulars we support you. https://t.co/S48h8oQODY,admiration
"The only way @elonmusk can save hisself now is to expose his dad as a #pedophile 
and then go on a tirade about making #Twitter a place to expose all pedophiles and sex trafficking rings worldwide. Period. There is no other path to a higher social credit score for #Elon now 🤣",mockery
@elonmusk I’m still getting follow requests from bot thots,irrelevant
@elonmusk Take a selfie @elonmusk😁,irrelevant
Hope I get banned for the following. I do not like social media or stupid people in general. I am only on this twitter thingy because @elonmusk bought it for an unpronounceable amount of South African Rands if you ask the former president of SA…so:,mockery
"Elon Musk caught rubbing shoulders with notorious 'corrupt' Russian propagandist

Tesla billionaire Elon Musk was in Qatar watching the World Cup final yesterday when he posed for selfies with alleged Russian propagandist Nailya Asker-Zade during the game

https://t.co/iT3fDex604",fear
"Mr @elonmusk , see the sequence, this is the reality of Brazil today.
Thread 👇 https://t.co/NmHjeF0Usq",irrelevant
@TheBeautyNurse2 @elonmusk Idk how was myspace used to handle that or tumblr,irrelevant
"@elonmusk Hello,
Do You Want To Learn More About Making Money Online?
Maybe you have tried one but haven't been so successful with the different information out there? #MondayMotivation #WhoDey #RHOP #MoneyTalks  #onlinelearning 
Here is the link to start: https://t.co/Qtznacx8vn https://t.co/ADo8mViI3u https://t.co/k13ybXMbBZ",irrelevant
@RealTBONEHusker @elonmusk Make her the first example,fear
"@elonmusk Bad people having power is worse, good people having power is better",trust
"@Mousecat1980 @elonmusk What I've attached below shows how Musk's 'Twitter Files' release proved that Trump was the ONLY one who violated anyone's 1st Amendment rights prior to the 2020 election. Biden, Democrats &amp; Twitter employees NEVER violated anyone's 1st Amendment rights...
https://t.co/sTadAeFQL4 https://t.co/bXP3qm3BFi",trust
@elonmusk They are raising the rates because the rich people who invested in bonds want their money. And they just do the bidding of legacy money.,mockery
"@KatzOnEarth @elonmusk There is dumb, dumber, and now dumberer... how stupid is it to compare an internationally recognized event to that of the persoanal movements of an individual? Only a libpedodemorat would...",mockery
@alexh82nd @elonmusk I DID IT!!! 🤣🤣🙌❤️,admiration
@lavern_spicer @elonmusk Here is my free speech. Fuck off,mockery
@LevineJonathan @elonmusk Daddy daddy buy this,mockery
@WholeMarsBlog @elonmusk This everyone will understand,trust
Abolish the Government. Start over with better checks and balances and term limits on all levels. Thoughts @mcuban @elonmusk #ENGSEN #Trending #TWITTERGATE https://t.co/DCR8jymFQK,fear
@elonmusk Elon. I don’t know if I have tweeted more than a handful. But since you’ve taken over I catch myself checking Twitter and trying to tweet a little more. Keep up the fantastic job a small people love what you’re doing.,admiration
"😂its not about being rich, its about being smart ... Elon is the smartest man on earth♥️ https://t.co/weCWLnhKcP",admiration
"Elon casually dropping a Pepe. 
Kek. https://t.co/YQ9E1yCy7V",irrelevant
"@David_Leavitt @elonmusk So prosecute Trump GOOD, prosecute fauci is Violence?",mockery
@MrColionNoir @elonmusk Who says he doesn't already,irrelevant
@KeithOlbermann @elonmusk Why are Fitton's eyes so close together?,mockery
"@elonmusk Per the constitution, the people are obligated to dismantle and reform the institutions",fear
@its_the_Dr It's like a building there are always rat traps around the building to keep the rats at bay. That's what @elonmusk did he just put the FBI and others on notice that the traps are in place,trust
@ScottAdamsSays @elonmusk Elon interviewing the next CEO of Twitter https://t.co/tl5W3Hl4j6,mockery
@elonmusk Listen to this freestyle https://t.co/lotVmJqAov,irrelevant
"@WILSON22051980 @RodgersKipembe TRUMPLON ON #BSC
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
✅LP LOCKED
✅#BUSD  rewards
✅Experienced team
✅Low starting LP
✅ NO PRESALE NO PRIVATE NO TEAM TOKENS 
✅50% burned 

#trumplon $trumplon #trump #ELONMUSK 

https://t.co/OFaXDPP87G

https://t.co/6ZQtrVjxUA
#6160 https://t.co/LMIyj0OBUN",irrelevant
"#Resisters  I am pushing to get his mortgage paid before Christmas and get his diabetes medicine. Any donations/retweets would be appreciated. Thank you 
@elonmusk @kellyclarkson
 #fundraising #donate #Blessings https://t.co/5fcqPb51s8",irrelevant
"@laralogan @elonmusk 2020/24 election was rife with election fraud/cheating by the Dems. Strange how Dems r always in a hurry to certify.

It's very easy to prove cheating. Simply challenge the outcome with a forensic audit which counts only lawful votes. Then watch the Dems have a complete meltdown.",fear
"@OzraeliAvi @elonmusk And to data analysts so we can also quantify and bring statistics over how many tweets have been misused or deleted, provoking election interference, first amendment violations, child pornography, medical bullying, and a long etcetera...",fear
"@David_Leavitt @elonmusk I appreciate your commitment to the bit, gotta be difficult to keep this going without breaking character.",mockery
@RichardGarriott @elonmusk to the moon!❤️.https://t.co/AIsil6HLXl,admiration
"@SmithDargo @MayraFlores2022 You not stating what specific policy.  What bill, order, memorandum did he sign?  What specific action did Biden do, governmentally, that ""opened"" the border.  And by the way, you can type ""ass"" on this site.  Elon Musk allows that.",irrelevant
@Powhatan_Dems @elonmusk I think you need to do your research!,mockery
"@POTUS You are delivering 'historic' inflation, fuel cost and HISTORIC CORRUPTION! Thank you Mr Elon Musk for confirming what we common sense folks already knew!",trust
"@elonmusk @KimDotcom The world needs you, this is a fact you must know, we believe in you",admiration
@elonmusk Why'd you post your own assination coordinates?,fear
@elonmusk This seems like a good idea. No potential problems.,mockery
@muskQu0tes @elonmusk How much service has he done?.. yeah,mockery
@WallStreetSilv @elonmusk That's normal. More accumulated likes over longer period on Trump poll.,irrelevant
@LevineJonathan @elonmusk Just.  Stop.  Eating it. https://t.co/znUpL16Cm1,mockery
@elonmusk @WholeMarsBlog alex jones is america and has God given rights to say anything he wants musk!,fear
@TomFitton @elonmusk No. ELON IS DOING IT ALL BY HIMSELF.,admiration
"@elonmusk The woke are annoying, but they are generally powerless.

Meddling billionaires, on the other hand, are an existential risk to democracy. Your sense of entitlement is no different from that of Marcus Crassus. You will end our republic, just as readily as Crassus did Rome's.",fear
"@elonmusk This has got to be a nightmare for your security team my man, you should have kept them suspended. This goes beyond freedom of speech and more about security. Also I think it’s time to up your security to include your family if you haven’t already and not just you as the primary",fear
"@elonmusk @GoyimKnow9000 crazy, i should try this https://t.co/AwSZ72VjZm",irrelevant
@elonmusk So who said this?,irrelevant
@elonmusk @MrBeast Don't forget to bring the hardware next time! https://t.co/QfCR7doT8S,mockery
"@elonmusk Of course, you were speaking most of the time, though (which is fine!), lol. Let everyone chat at once next time and our phones will explode 🤣",admiration
"If @elonmusk  does not release all the remaining files unfiltered, the n you have to assume hes in the pocket of someone. If hes really trying to be the Hero! then he will do what @jack suggested.
https://t.co/A2zVPtS3bG",mockery
"Elon has three major problems Musk can't ignore: Tesla stock is ranking as its expensive cars aimed at rich liberals aren't selling.Resistance at Twitter is becoming difficult to manage. Antisemitism is out of control on Twitter 

 https://t.co/764ZsGjJvp",fear
#ElonMusk #Musk #Twitter #Meme #RIPTwitter #TwitterDark #GoodByeTwitter #SpaceKaren #Twitterpocalyspe Frenzy Playlist ItsACityOfApes The Ape News Pictogram Service https://t.co/pL9huNCWIw #Prophecy #EndTimes #poll https://t.co/fwZKJhnxal,mockery
Do no screw over our orbit please @elonmusk this is more dangerous than AI.,fear
Is Elon Musk Neurolink Killing Animals? https://t.co/jOpUFbaAZz,fear
@ChidiNwatu @elonmusk I thought ALL last night that he was really bringing Donald Jr to be CEO &amp; Kanye as Moderator! I realize now that Elon Musk might be better than that prospect!,mockery
"After listening to @elonmusk on space today twitter’s code base feels like it is harder than @SpaceX &amp; $tsla technology combined. 

Twitter’s codebase GitHub desc. when it goes open source:

Rocket Science is easier! Please help!",mockery
@elonmusk he leaned over smiling and said “ mogul “ 🎩,admiration
@Jim_Jordan @elonmusk How about we start with you?,mockery
Has anyone checked on @elonmusk in the last hour? Do we know where the Clintons are at this time?...............................,fear
@elonmusk I’m foolish enough with something that nobody has ever seen.,irrelevant
@elonmusk @elonmusk I have some Twitter ideas that could be potentially nice for the platform. Is there someone I could talk to about them?,irrelevant
@DineshDSouza @elonmusk Democrats can leave this country and take your supporters with you..,fear
My jaw hit the floor': Ex-FBI lawyer fired by Elon Musk https://t.co/47rld3sfMo,admiration
@elonmusk He got played by the politicians.,mockery
"@elonmusk @larryelder If you were to line them up front to back, you could take out all 3 with 1 bullet. Just saying...🤔",fear
@elonmusk @RichardGarriott I thought if was a dildo...,mockery
@MayoIsSpicyy No bigger loser the Elon Musk. He literally lost half of his wealth because he wants Nazis have their Twitter account back. Showed to be a huge hypocrite on free speech.,fear
@elonmusk Same goes for many who already have it.,irrelevant
@elonmusk In third world countries governments always hate speech. Even through #twitter.,trust
@elonmusk @mtaibbi Did he get escorted out the door or told to leave? He might still be there hiding behind some files or something so just be careful. Did you get his key pass?,mockery
"@TaraBull808 I stand with Elon Musk.
90 days ago, I was his strongest critic.
Today, I am his staunchest advocate.

Musk is the only reason I am back on Twitter.",admiration
"@elonmusk @KimDotcom I miss clicked and to prove that we can do a 1v1 on Eldenring, with your goofy aaah build I will beat you",mockery
"@MrAndyNgo @elonmusk Thank you for reporting on this, I had no idea that was even happening.",trust
@elonmusk Time to move out of California! You or nobody’s safe in the rat hole anymore! #TexasCalling,fear
@StationCDRKelly @elonmusk Your lies don’t work anymore fly boy.,mockery
@Victorshi2020 @elonmusk Oh yeah. He’s on his way to being found guilty,fear
@nickhedley @elonmusk Nick. I don’t think you’re the only one getting more fanboy guff on your TL. Been much higher on my TL for about a week,irrelevant
"After $700 billion drop, angry Tesla investors say Elon Musk has ""abandoned"" them https://t.co/OXsfWrVUJE via @cbsmoneywatch",
THIS AND ALL OF THIS GOD KING ELON LET'S GO https://t.co/u4qObX1hnj,admiration
"@fei_eth @anarcadeio TRUMPLON ON #BSC
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
✅LP LOCKED
✅#BUSD  rewards
✅Experienced team
✅Low starting LP
✅ NO PRESALE NO PRIVATE NO TEAM TOKENS 
✅50% burned 

#trumplon $trumplon #trump #ELONMUSK 

https://t.co/x4WWMTkP4r

https://t.co/81FcRAo5xD
#7178 https://t.co/gBPIMSUcae",irrelevant
@elonmusk @Rainmaker1973 Is not you is it?💕🐻👑,admiration
"@DiamondandSilk Some people are Superfluous in lying. If they have the proof he should go to jail.
Elon Musk if you have any proof that  Facui was involved with suppression of the covid19 information Please put it on Twitter",trust
@elonmusk The Meadows texts make the Twitter Files look like childs play.,trust
@Flying__Doc @elonmusk That's what the guy with the brain of a sink wants it to be,mockery
@ColeyArie @elonmusk Member wen? https://t.co/0TC26vXyX5,irrelevant
@elonmusk Remarkable Pistol. Was the Pistol  used in the revolutionary War i.e. Valley Forge by General Washington while crossing the Delaware River? Turning point in The  Revolutionary War for the American patriots.,irrelevant
"@donmoyn @elonmusk Yes, because using a social media platform to question an election is sooooo much worse the. What the democrats did in 2016 with the entire Mueller thing. You’re a great example of being tone deaf.",mockery
"@cb_doge @elonmusk man oh man you see the support he gets, people are truly looking at Elon Musk as our new saviour. HONESTLY",admiration
"@elonmusk @WallStreetSilv No question, you were botted.",mockery
@elonmusk No room for degradation.,irrelevant
@elonmusk People were harvesting that blessings,irrelevant
"@elonmusk For the wealthiest man in the world, you really do sometimes act like a silly high schooler. And then you blame it on autism. Its just really quite something",mockery
@JohnnyVedmore @elonmusk Anyone who thinks Elon Musk is really here to do good or believe anything he says are stupid.,mockery
Thank You @elonmusk Man Of The Year! We The People Can Speak!,admiration
"@piersmorgan @elonmusk No we're left with the smug, irritating, self-righteous.... you?",mockery
"@novcuann @RichQuack TRUMPLON ON #BSC
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
✅LP LOCKED
✅#BUSD  rewards
✅Experienced team
✅Low starting LP
✅ NO PRESALE NO PRIVATE NO TEAM TOKENS 
✅50% burned 
#trumplon $trumplon #trump #ELONMUSK 
https://t.co/2JXR2XErzV
https://t.co/Iv5zU9DFVo
46 https://t.co/NCJ90Clgwe",irrelevant
@elonmusk Evil people and anarchists must not be at the helm. A select jury or the good common sense from the masses must judge on banishment. It must be fair without prejudice. Woke 2.0. Will be untainted by the   Corporatist Communist whose agenda corrupts people without souls.,fear
@cocopaper_ @elonmusk This exact spam message format been around for way too long.,irrelevant
"@elonmusk Who cares about bots, you just got absolutely destroyed in this article, you need to stop and think about siding with the morons…

https://t.co/WaSAoOn55M",mockery
"@glennbeck @elonmusk Mr Conspiracy!

Remember when Glenn was crying in a hospital bed about how awful our health care system was?

Zero credibility",mockery
"@carrieb0351 @elonmusk Alas, I was unfairly blacklisted🤐too because what I shared was considered too🔥incendiary at the time:
My mind🤯blowing interactions with ethereal entities who claimed in September 2020 how Donald Trump would win the election‼️⚡️‼️
https://t.co/4KdScrTOP7
https://t.co/UhwEEAbSXn",irrelevant
@elonmusk so now you’re torturing animals for a get rich quick scheme? Instead of torturing and murdering animals do this to Nazis leave the innocent animals alone! 🖕,fear
"@DianaGlebova @elonmusk Even if you paid me, I wouldn't lie like these people do.  I legit don't get how they look in the mirror each morning.",trust
@ada_lluch @elonmusk The people who say such things have no idea what they're talking about.,irrelevant
"@elonmusk You asked to vote for republicans, conspiranoics, that follow a baby dictator trump that has still not recognized his loss and just recently asked for the constitution to be changed… please man I thought you were a reasonable scientist and not a clown. Make some sense…",fear
Nvm @elonmusk ily https://t.co/kVomkdQJjH https://t.co/txF57DSNGs,admiration
@ZaleskiLuke @elonmusk 48) can you imagine I will have to build a ladder higher than anyone’s ever seen just a glimpse into the throne you are earning you are good what you’re doing is amazing I can’t believe your execution is so solid you are so bold it’s humans we speak you must be a janitor with,admiration
ok guys i guess we are not going w the if layout bc elon musk hates lesbians,mockery
"@muskQu0tes @elonmusk You need to understand that the previous Twitter left deep scars, we need to recover. I have finally plucked up the courage to start retweeting again. It was a great hurdle. Complements to a clearer cleaner view.",trust
"@elonmusk Apartheid Good

Rebellion BAD",mockery
@San_max444 @elonmusk That’s what the model 3 is. Anything that is a large step down from a model 3 wouldn’t be a reasonable car replacement for average people. It would require scaling back the battery significantly and that would suck for everyone involved.,irrelevant
@elonmusk @WallStreetSilv Some probably made new accounts just to vote no. Sad,irrelevant
@iggypiggy1919 @elonmusk Ask OpenAI. If you use the right wording you will get answers...,irrelevant
"@elonmusk @ocean_quantify (OEN)🌊

Passive income through buying contracts yielding between 1.5%- 5% daily.

Daily withdrawals ✅Ocean is very new with lots of growth ahead! Start with a min $30

Backed by Achillies, Venom, Kayzak, and more

https://t.co/LIPxA1EwHi

https://t.co/BqzKhgHB7n",irrelevant
@elonmusk You are unsettlingly ugly. In every way. Musky the little rich boy who stood on the shoulders of Giants.,mockery
"@TrendingLiberal At the end of the day, it doesn't matter anyway......Musk's bizarre antics have caused a majority of large advertisers to flee, and Twitter is on track to lose $4B a year.....the company will not survive with or without @elonmusk.",fear
@elonmusk Dude it’s just a phone app…no one cares,mockery
